Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR
02/10/2016,,Bologna,Genoa,0,1,A
02/10/2016,,Cagliari,Crotone,2,1,H
02/10/2016,,Sampdoria,Palermo,1,1,D
02/10/2016,18:00,AC Milan,Sassuolo,4,3,H
02/10/2016,,Torino,Fiorentina,2,1,H
02/10/2016,20:45,AS Roma,Inter,2,1,H
15/10/2016,15:00,Napoli,AS Roma,1,3,A
15/10/2016,18:00,Pescara,Sampdoria,1,1,D
15/10/2016,20:45,Juventus,Udinese,2,1,H
16/10/2016,12:30,Fiorentina,Atalanta,0,0,D
16/10/2016,15:00,Genoa,Empoli,0,0,D
16/10/2016,,Inter,Cagliari,1,2,A
16/10/2016,,Lazio,Bologna,1,1,D
16/10/2016,,Sassuolo,Crotone,2,1,H
16/10/2016,20:45,Chievo,AC Milan,1,3,A
17/10/2016,20:45,Palermo,Torino,1,4,A
22/10/2016,18:00,Sampdoria,Genoa,2,1,H
22/10/2016,20:45,AC Milan,Juventus,1,0,H
23/10/2016,12:30,Udinese,Pescara,3,1,H
23/10/2016,15:00,Atalanta,Inter,2,1,H
23/10/2016,,Cagliari,Fiorentina,3,5,A
23/10/2016,,Crotone,Napoli,1,2,A
23/10/2016,,Empoli,Chievo,0,0,D
23/10/2016,,Torino,Lazio,2,2,D
23/10/2016,18:00,Bologna,Sassuolo,1,1,D
23/10/2016,20:45,AS Roma,Palermo,4,1,H
25/10/2016,20:45,Genoa,AC Milan,3,0,H
26/10/2016,20:45,Chievo,Bologna,1,1,D
26/10/2016,,Fiorentina,Crotone,1,1,D
26/10/2016,,Inter,Torino,2,1,H
26/10/2016,,Juventus,Sampdoria,4,1,H
26/10/2016,,Lazio,Cagliari,4,1,H
26/10/2016,,Napoli,Empoli,2,0,H
26/10/2016,,Pescara,Atalanta,0,1,A
26/10/2016,,Sassuolo,AS Roma,1,3,A
27/10/2016,20:45,Palermo,Udinese,1,3,A
29/10/2016,18:00,Bologna,Fiorentina,0,1,A
29/10/2016,20:45,Juventus,Napoli,2,1,H
30/10/2016,12:30,Atalanta,Genoa,3,0,H
30/10/2016,15:00,Crotone,Chievo,2,0,H
30/10/2016,,Empoli,AS Roma,0,0,D
30/10/2016,,Lazio,Sassuolo,2,1,H
30/10/2016,,AC Milan,Pescara,1,0,H
30/10/2016,20:45,Sampdoria,Inter,1,0,H
31/10/2016,19:00,Udinese,Torino,2,2,D
31/10/2016,21:00,Cagliari,Palermo,2,1,H
05/11/2016,18:00,Torino,Cagliari,5,1,H
05/11/2016,20:45,Napoli,Lazio,1,1,D
06/11/2016,12:30,Pescara,Empoli,0,4,A
06/11/2016,15:00,Chievo,Juventus,1,2,A
06/11/2016,,Genoa,Udinese,1,1,D
06/11/2016,,Palermo,AC Milan,1,2,A
06/11/2016,,Sassuolo,Atalanta,0,3,A
06/11/2016,18:00,Fiorentina,Sampdoria,1,1,D
06/11/2016,,Inter,Crotone,3,0,H
06/11/2016,20:45,AS Roma,Bologna,3,0,H
19/11/2016,15:00,Chievo,Cagliari,1,0,H
19/11/2016,18:00,Udinese,Napoli,1,2,A
19/11/2016,20:45,Juventus,Pescara,3,0,H
20/11/2016,12:30,Sampdoria,Sassuolo,3,2,H
20/11/2016,15:00,Atalanta,AS Roma,2,1,H
20/11/2016,,Bologna,Palermo,3,1,H
20/11/2016,,Crotone,Torino,0,2,A
20/11/2016,,Empoli,Fiorentina,0,4,A
20/11/2016,,Lazio,Genoa,3,1,H
20/11/2016,20:45,AC Milan,Inter,2,2,D
26/11/2016,18:00,Torino,Chievo,2,1,H
26/11/2016,20:45,Empoli,AC Milan,1,4,A
27/11/2016,12:30,Palermo,Lazio,0,1,A
27/11/2016,15:00,Bologna,Atalanta,0,2,A
27/11/2016,,Cagliari,Udinese,2,1,H
27/11/2016,,Crotone,Sampdoria,1,1,D
27/11/2016,,Genoa,Juventus,3,1,H
27/11/2016,20:45,AS Roma,Pescara,3,2,H
