Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR
22/01/2022,21:00,Malaga,Ibiza,0,5,A
22/01/2022,16:00,Real Zaragoza,Valladolid,0,0,D
23/01/2022,14:00,Burgos,Leganes,4,0,H
23/01/2022,16:00,Sporting Gijon,Amorebieta,2,1,H
23/01/2022,18:15,Girona,Lugo,1,1,D
23/01/2022,,Huesca,Ponferradina,1,2,A
23/01/2022,21:00,Alcorcon,Mirandes,0,0,D
24/01/2022,21:00,Almeria,Eibar,0,2,A
24/01/2022,,Real Sociedad B,Cartagena,1,2,A
28/01/2022,21:00,Valladolid,Sporting Gijon,1,0,H
29/01/2022,16:00,Amorebieta,Girona,1,0,H
29/01/2022,18:15,Lugo,Burgos,1,0,H
29/01/2022,,Eibar,Huesca,2,1,H
29/01/2022,21:00,Real Oviedo,Almeria,2,0,H
30/01/2022,16:00,Cartagena,Fuenlabrada,3,0,H
30/01/2022,18:15,Mirandes,Malaga,3,0,H
30/01/2022,,Las Palmas,Real Sociedad B,0,0,D
30/01/2022,21:00,Ponferradina,Tenerife,1,2,A
30/01/2022,14:00,Leganes,Alcorcon,1,0,H
31/01/2022,21:00,Ibiza,Real Zaragoza,2,2,D
04/02/2022,21:00,Almeria,Ibiza,2,0,H
04/02/2022,,Burgos,Alcorcon,3,1,H
05/02/2022,18:15,Real Zaragoza,Malaga,1,1,D
05/02/2022,20:30,Girona,Ponferradina,3,0,H
05/02/2022,,Sporting Gijon,Eibar,0,1,A
05/02/2022,16:00,Real Sociedad B,Lugo,1,1,D
06/02/2022,14:00,Amorebieta,Real Oviedo,1,1,D
06/02/2022,,Fuenlabrada,Valladolid,0,0,D
06/02/2022,18:15,Cartagena,Las Palmas,0,2,A
06/02/2022,,Huesca,Mirandes,4,0,H
06/02/2022,21:00,Tenerife,Leganes,0,0,D
11/02/2022,21:00,Leganes,Real Zaragoza,2,1,H
12/02/2022,16:00,Mirandes,Sporting Gijon,0,3,A
12/02/2022,18:15,Ibiza,Cartagena,2,1,H
12/02/2022,,Valladolid,Girona,2,2,D
12/02/2022,20:30,Malaga,Almeria,0,1,A
13/02/2022,16:00,Real Oviedo,Huesca,3,3,D
13/02/2022,18:15,Alcorcon,Tenerife,0,2,A
13/02/2022,,Lugo,Amorebieta,1,1,D
13/02/2022,21:00,Las Palmas,Burgos,0,2,A
13/02/2022,14:00,Eibar,Fuenlabrada,0,0,D
14/02/2022,21:00,Ponferradina,Real Sociedad B,3,2,H
18/02/2022,21:00,Cartagena,Valladolid,2,3,A
19/02/2022,18:15,Tenerife,Ibiza,2,0,H
19/02/2022,,Girona,Eibar,0,1,A
19/02/2022,21:00,Real Sociedad B,Malaga,2,0,H
19/02/2022,16:00,Real Zaragoza,Las Palmas,2,1,H
20/02/2022,14:00,Fuenlabrada,Alcorcon,2,2,D
20/02/2022,16:00,Burgos,Real Oviedo,0,1,A
20/02/2022,18:15,Huesca,Lugo,1,0,H
20/02/2022,,Sporting Gijon,Ponferradina,2,3,A
20/02/2022,21:00,Almeria,Mirandes,2,1,H
21/02/2022,21:00,Amorebieta,Leganes,1,3,A
25/02/2022,21:00,Almeria,Fuenlabrada,3,1,H
26/02/2022,16:00,Ibiza,Huesca,2,1,H
26/02/2022,18:15,Real Oviedo,Real Sociedad B,0,1,A
26/02/2022,21:00,Las Palmas,Lugo,2,2,D
26/02/2022,16:00,Mirandes,Tenerife,2,1,H
27/02/2022,14:00,Eibar,Burgos,2,0,H
27/02/2022,16:00,Sporting Gijon,Real Zaragoza,1,2,A
27/02/2022,18:15,Leganes,Girona,1,1,D
27/02/2022,,Valladolid,Amorebieta,5,1,H
27/02/2022,21:00,Alcorcon,Ponferradina,2,2,D
28/02/2022,21:00,Malaga,Cartagena,1,1,D
04/03/2022,21:00,Real Zaragoza,Almeria,2,0,H
05/03/2022,16:00,Huesca,Las Palmas,0,0,D
05/03/2022,18:15,Tenerife,Valladolid,1,4,A
05/03/2022,16:00,Fuenlabrada,Burgos,1,2,A
06/03/2022,14:00,Lugo,Alcorcon,1,0,H
06/03/2022,16:00,Ponferradina,Ibiza,1,1,D
06/03/2022,18:15,Amorebieta,Malaga,1,2,A
06/03/2022,,Leganes,Mirandes,2,0,H
06/03/2022,,Cartagena,Eibar,4,1,H
06/03/2022,21:00,Girona,Real Oviedo,2,1,H
07/03/2022,21:00,Real Sociedad B,Sporting Gijon,2,1,H
11/03/2022,21:00,Real Zaragoza,Fuenlabrada,2,1,H
12/03/2022,16:00,Ibiza,Leganes,1,1,D
12/03/2022,18:15,Almeria,Lugo,3,3,D
12/03/2022,,Las Palmas,Girona,1,3,A
12/03/2022,21:00,Malaga,Ponferradina,0,0,D
12/03/2022,16:00,Mirandes,Cartagena,2,1,H
13/03/2022,14:00,Burgos,Real Sociedad B,0,0,D
13/03/2022,16:00,Eibar,Amorebieta,1,0,H
13/03/2022,,Sporting Gijon,Tenerife,1,2,A
13/03/2022,18:15,Alcorcon,Huesca,1,0,H
13/03/2022,,Real Oviedo,Valladolid,3,0,H
18/03/2022,21:00,Huesca,Burgos,1,0,H
19/03/2022,14:00,Real Sociedad B,Mirandes,1,3,A
19/03/2022,16:00,Cartagena,Real Zaragoza,3,0,H
19/03/2022,,Fuenlabrada,Malaga,1,0,H
19/03/2022,18:15,Lugo,Real Oviedo,1,1,D
19/03/2022,,Valladolid,Las Palmas,0,1,A
19/03/2022,21:00,Girona,Ibiza,5,1,H
20/03/2022,16:00,Ponferradina,Eibar,2,2,D
20/03/2022,18:15,Leganes,Sporting Gijon,1,1,D
20/03/2022,14:00,Amorebieta,Alcorcon,0,0,D
21/03/2022,21:00,Tenerife,Almeria,0,1,A
25/03/2022,21:00,Real Zaragoza,Amorebieta,1,1,D
26/03/2022,16:00,Eibar,Lugo,1,0,H
26/03/2022,18:00,Sporting Gijon,Cartagena,4,1,H
26/03/2022,21:30,Real Oviedo,Fuenlabrada,3,0,H
26/03/2022,14:00,Ibiza,Real Sociedad B,2,2,D
27/03/2022,14:00,Mirandes,Ponferradina,3,1,H
27/03/2022,16:00,Burgos,Tenerife,1,0,H
27/03/2022,18:15,Alcorcon,Valladolid,1,2,A
27/03/2022,,Malaga,Huesca,0,2,A
27/03/2022,21:00,Almeria,Girona,0,1,A
28/03/2022,21:00,Las Palmas,Leganes,4,2,H
01/04/2022,21:00,Girona,Malaga,1,0,H
02/04/2022,16:00,Valladolid,Lugo,4,1,H
02/04/2022,18:15,Amorebieta,Ibiza,3,1,H
02/04/2022,20:30,Tenerife,Real Zaragoza,1,1,D
02/04/2022,16:00,Real Sociedad B,Alcorcon,2,4,A
03/04/2022,14:00,Cartagena,Real Oviedo,1,2,A
03/04/2022,16:00,Burgos,Sporting Gijon,0,0,D
03/04/2022,,Ponferradina,Las Palmas,1,2,A
03/04/2022,18:15,Eibar,Mirandes,1,1,D
03/04/2022,,Huesca,Almeria,1,1,D
04/04/2022,21:00,Leganes,Fuenlabrada,3,2,H
08/04/2022,21:00,Lugo,Cartagena,1,0,H
09/04/2022,18:15,Alcorcon,Sporting Gijon,1,1,D
09/04/2022,,Malaga,Valladolid,2,2,D
09/04/2022,21:00,Las Palmas,Amorebieta,1,0,H
09/04/2022,16:00,Real Sociedad B,Tenerife,1,2,A
10/04/2022,14:00,Fuenlabrada,Huesca,2,3,A
10/04/2022,16:00,Real Zaragoza,Girona,1,0,H
10/04/2022,18:15,Mirandes,Burgos,3,1,H
10/04/2022,,Ibiza,Eibar,2,0,H
10/04/2022,,Real Oviedo,Leganes,1,0,H
11/04/2022,21:00,Almeria,Ponferradina,3,0,H
15/04/2022,21:00,Amorebieta,Mirandes,1,0,H
15/04/2022,18:30,Eibar,Las Palmas,2,2,D
16/04/2022,16:00,Leganes,Malaga,0,3,A
16/04/2022,18:15,Valladolid,Almeria,2,2,D
16/04/2022,20:30,Sporting Gijon,Real Oviedo,0,1,A
16/04/2022,21:00,Cartagena,Alcorcon,3,1,H
17/04/2022,16:00,Burgos,Ibiza,2,1,H
17/04/2022,18:15,Tenerife,Fuenlabrada,3,1,H
17/04/2022,,Huesca,Real Zaragoza,1,1,D
17/04/2022,14:00,Ponferradina,Lugo,3,1,H
18/04/2022,19:00,Girona,Real Sociedad B,2,0,H
22/04/2022,21:00,Tenerife,Huesca,0,0,D
23/04/2022,16:15,Cartagena,Girona,3,0,H
23/04/2022,,Fuenlabrada,Ponferradina,2,3,A
23/04/2022,18:30,Malaga,Eibar,1,3,A
23/04/2022,14:00,Real Sociedad B,Amorebieta,2,1,H
24/04/2022,14:00,Alcorcon,Real Oviedo,1,2,A
24/04/2022,16:15,Mirandes,Valladolid,0,1,A
24/04/2022,,Ibiza,Las Palmas,1,1,D
24/04/2022,18:30,Lugo,Leganes,0,0,D
24/04/2022,,Real Zaragoza,Burgos,0,0,D
25/04/2022,21:00,Almeria,Sporting Gijon,1,0,H
29/04/2022,22:00,Las Palmas,Malaga,2,1,H
30/04/2022,18:15,Eibar,Real Zaragoza,2,0,H
30/04/2022,20:30,Burgos,Almeria,0,2,A
30/04/2022,16:00,Real Oviedo,Mirandes,3,0,H
01/05/2022,14:00,Amorebieta,Fuenlabrada,2,1,H
01/05/2022,16:00,Alcorcon,Girona,0,1,A
01/05/2022,,Sporting Gijon,Ibiza,0,1,A
01/05/2022,18:15,Lugo,Tenerife,0,2,A
01/05/2022,,Ponferradina,Cartagena,4,2,H
02/05/2022,21:00,Valladolid,Real Sociedad B,1,2,A
02/05/2022,18:30,Leganes,Huesca,2,1,H
06/05/2022,21:00,Las Palmas,Mirandes,1,0,H
07/05/2022,16:00,Huesca,Sporting Gijon,1,1,D
07/05/2022,18:15,Malaga,Real Oviedo,0,0,D
07/05/2022,,Almeria,Amorebieta,3,0,H
07/05/2022,21:00,Ponferradina,Burgos,3,1,H
07/05/2022,16:00,Fuenlabrada,Real Sociedad B,1,2,A
08/05/2022,14:00,Cartagena,Leganes,0,0,D
08/05/2022,16:00,Eibar,Valladolid,0,2,A
08/05/2022,18:15,Ibiza,Lugo,1,1,D
08/05/2022,,Real Zaragoza,Alcorcon,0,3,A
09/05/2022,21:00,Girona,Tenerife,0,1,A
13/05/2022,21:00,Real Sociedad B,Almeria,0,2,A
14/05/2022,14:00,Amorebieta,Huesca,1,0,H
14/05/2022,16:00,Burgos,Cartagena,1,1,D
14/05/2022,,Lugo,Fuenlabrada,1,3,A
14/05/2022,18:15,Valladolid,Ponferradina,2,0,H
14/05/2022,21:00,Leganes,Eibar,2,3,A
15/05/2022,16:00,Mirandes,Ibiza,4,0,H
15/05/2022,,Sporting Gijon,Girona,2,1,H
15/05/2022,21:00,Tenerife,Malaga,0,2,A
15/05/2022,14:00,Alcorcon,Las Palmas,0,2,A
16/05/2022,21:00,Real Oviedo,Real Zaragoza,3,3,D
20/05/2022,21:00,Real Zaragoza,Lugo,1,0,H
21/05/2022,20:00,Cartagena,Amorebieta,5,0,H
21/05/2022,,Malaga,Burgos,0,1,A
21/05/2022,,Fuenlabrada,Sporting Gijon,0,0,D
21/05/2022,,Huesca,Real Sociedad B,3,2,H
21/05/2022,22:00,Girona,Mirandes,2,0,H
21/05/2022,,Ibiza,Valladolid,1,2,A
21/05/2022,,Eibar,Tenerife,2,0,H
21/05/2022,,Ponferradina,Leganes,0,3,A
21/05/2022,,Almeria,Alcorcon,1,1,D
21/05/2022,,Las Palmas,Real Oviedo,2,1,H
27/05/2022,21:00,Real Sociedad B,Real Zaragoza,1,2,A
27/05/2022,,Mirandes,Fuenlabrada,5,1,H
28/05/2022,18:15,Lugo,Malaga,1,0,H
28/05/2022,,Amorebieta,Ponferradina,1,0,H
29/05/2022,20:00,Alcorcon,Eibar,1,0,H
29/05/2022,,Burgos,Girona,0,0,D
29/05/2022,,Leganes,Almeria,2,2,D
29/05/2022,,Tenerife,Cartagena,1,2,A
29/05/2022,,Real Oviedo,Ibiza,3,2,H
29/05/2022,,Valladolid,Huesca,3,0,H
29/05/2022,,Sporting Gijon,Las Palmas,0,1,A
12/08/2022,21:00,Levante,Huesca,0,0,D
13/08/2022,19:00,Mirandes,Sporting Gijon,1,1,D
13/08/2022,21:00,Leganes,Alaves,1,2,A
13/08/2022,23:00,Las Palmas,Real Zaragoza,0,0,D
13/08/2022,17:00,Eibar,Tenerife,2,1,H
14/08/2022,17:30,Racing Santander,Villarreal B,0,2,A
14/08/2022,19:30,Ibiza,Granada,0,2,A
14/08/2022,22:00,Burgos,Malaga,1,0,H
15/08/2022,19:30,Lugo,Albacete,1,2,A
15/08/2022,22:00,Cartagena,Ponferradina,2,3,A
15/08/2022,17:30,Real Oviedo,Andorra,0,1,A
19/08/2022,22:00,Alaves,Mirandes,1,0,H
19/08/2022,20:00,Villarreal B,Eibar,2,2,D
